textblob,time,polyglot,time,langDedect,time,guess_language,time,langid,time,fasttext,time,cld2,time,nltkDetect,time,whatlang,time,langua
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.58,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.15,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.88,True,0.06,True,0.2
True,0.16,True,0.0,True,0.02,True,0.01,True,0.01,True,0.0,True,0.0,True,1.95,True,0.06,True,0.2
True,0.15,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,False,1.1,True,0.06,True,0.2
True,0.14,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.72,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.06,True,0.2
True,0.16,True,0.0,True,0.02,True,0.01,True,0.01,True,0.0,True,0.0,True,2.42,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.63,True,0.06,True,0.2
True,0.16,True,0.0,True,0.02,True,0.01,True,0.01,True,0.0,True,0.0,True,2.27,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.25,True,0.06,True,0.21
True,0.16,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,2.6,True,0.06,True,0.21
True,0.16,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,1.99,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.13,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.27,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.58,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.95,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.08,True,0.06,True,0.21
True,0.18,True,0.0,True,0.03,True,0.01,True,0.0,True,0.0,True,0.0,True,4.95,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.61,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.5,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.7,True,0.06,True,0.2
True,0.14,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.76,True,0.06,True,0.2
True,0.18,True,0.0,True,0.02,True,0.01,True,0.01,True,0.0,True,0.0,True,3.46,True,0.06,True,0.2
True,0.18,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.84,True,0.06,True,0.2
True,0.16,True,0.0,True,0.02,True,0.01,True,0.01,True,0.0,True,0.0,True,2.99,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.56,True,0.06,True,0.2
